ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Subscriber	subscriber	1609142004200	 	3.2.1
USER	getAndAck	61	END	1609142022333	1609142022345
USER	getAndAck	62	START	1609142022383	1609142022383
REQUEST	62		/message/get	1609142022384	1609142022390	OK	 
USER	getAndAck	62	END	1609142022383	1609142022390
USER	getAndAck	63	START	1609142022433	1609142022433
REQUEST	63		/message/ack	1609142022434	1609142022441	OK	 
USER	getAndAck	63	END	1609142022433	1609142022441
USER	getAndAck	64	START	1609142022494	1609142022494
REQUEST	64		/message/get	1609142022494	1609142022500	OK	 
USER	getAndAck	64	END	1609142022494	1609142022501
USER	getAndAck	65	START	1609142022544	1609142022544
REQUEST	65		/message/ack	1609142022545	1609142022550	OK	 
USER	getAndAck	65	END	1609142022544	1609142022551
USER	getAndAck	66	START	1609142022593	1609142022593
REQUEST	66		/message/get	1609142022594	1609142022603	OK	 
USER	getAndAck	66	END	1609142022593	1609142022604
USER	getAndAck	67	START	1609142022645	1609142022645
REQUEST	67		/message/ack	1609142022646	1609142022657	OK	 
USER	getAndAck	67	END	1609142022645	1609142022658
USER	getAndAck	68	START	1609142022694	1609142022694
REQUEST	68		/message/get	1609142022695	1609142022700	OK	 
USER	getAndAck	68	END	1609142022694	1609142022700
USER	getAndAck	69	START	1609142022733	1609142022733
REQUEST	69		/message/ack	1609142022734	1609142022740	OK	 
USER	getAndAck	69	END	1609142022733	1609142022740
USER	getAndAck	70	START	1609142022774	1609142022774
REQUEST	70		/message/get	1609142022774	1609142022789	OK	 
USER	getAndAck	70	END	1609142022774	1609142022789
USER	getAndAck	71	START	1609142022824	1609142022824
REQUEST	71		/message/ack	1609142022824	1609142022832	OK	 
USER	getAndAck	71	END	1609142022824	1609142022832
USER	getAndAck	72	START	1609142022864	1609142022864
REQUEST	72		/message/get	1609142022864	1609142022869	OK	 
USER	getAndAck	72	END	1609142022864	1609142022870
USER	getAndAck	73	START	1609142022904	1609142022904
REQUEST	73		/message/ack	1609142022904	1609142022916	OK	 
USER	getAndAck	73	END	1609142022904	1609142022917
USER	getAndAck	74	START	1609142022954	1609142022954
REQUEST	74		/message/get	1609142022954	1609142022964	OK	 
USER	getAndAck	74	END	1609142022954	1609142022965
USER	getAndAck	75	START	1609142022994	1609142022994
REQUEST	75		/message/ack	1609142022994	1609142023000	OK	 
USER	getAndAck	75	END	1609142022994	1609142023001
USER	getAndAck	76	START	1609142023033	1609142023033
REQUEST	76		/message/get	1609142023034	1609142023043	OK	 
USER	getAndAck	76	END	1609142023033	1609142023044
USER	getAndAck	77	START	1609142023083	1609142023083
REQUEST	77		/message/ack	1609142023084	1609142023094	OK	 
USER	getAndAck	77	END	1609142023083	1609142023094
USER	getAndAck	78	START	1609142023123	1609142023123
REQUEST	78		/message/get	1609142023124	1609142023129	OK	 
USER	getAndAck	78	END	1609142023123	1609142023130
USER	getAndAck	79	START	1609142023163	1609142023163
REQUEST	79		/message/ack	1609142023164	1609142023179	OK	 
USER	getAndAck	79	END	1609142023163	1609142023180
USER	getAndAck	80	START	1609142023214	1609142023214
REQUEST	80		/message/get	1609142023214	1609142023226	OK	 
USER	getAndAck	80	END	1609142023214	1609142023226
USER	getAndAck	81	START	1609142023254	1609142023254
REQUEST	81		/message/ack	1609142023254	1609142023264	OK	 
USER	getAndAck	81	END	1609142023254	1609142023264
USER	getAndAck	82	START	1609142023304	1609142023304
REQUEST	82		/message/get	1609142023304	1609142023312	OK	 
USER	getAndAck	82	END	1609142023304	1609142023313
USER	getAndAck	83	START	1609142023344	1609142023344
REQUEST	83		/message/ack	1609142023344	1609142023355	OK	 
USER	getAndAck	83	END	1609142023344	1609142023356
USER	getAndAck	84	START	1609142023383	1609142023383
REQUEST	84		/message/get	1609142023384	1609142023394	OK	 
USER	getAndAck	84	END	1609142023383	1609142023394
USER	getAndAck	85	START	1609142023433	1609142023433
REQUEST	85		/message/ack	1609142023434	1609142023445	OK	 
USER	getAndAck	85	END	1609142023433	1609142023446
USER	getAndAck	86	START	1609142023473	1609142023473
REQUEST	86		/message/get	1609142023474	1609142023487	OK	 
USER	getAndAck	86	END	1609142023473	1609142023488
USER	getAndAck	87	START	1609142023513	1609142023513
REQUEST	87		/message/ack	1609142023514	1609142023525	OK	 
USER	getAndAck	87	END	1609142023513	1609142023525
USER	getAndAck	88	START	1609142023564	1609142023564
REQUEST	88		/message/get	1609142023565	1609142023569	OK	 
USER	getAndAck	88	END	1609142023564	1609142023569
USER	getAndAck	89	START	1609142023604	1609142023604
REQUEST	89		/message/ack	1609142023604	1609142023609	OK	 
USER	getAndAck	89	END	1609142023604	1609142023610
USER	getAndAck	90	START	1609142023643	1609142023643
REQUEST	90		/message/get	1609142023644	1609142023656	OK	 
USER	getAndAck	90	END	1609142023643	1609142023657
USER	getAndAck	91	START	1609142023684	1609142023684
REQUEST	91		/message/ack	1609142023685	1609142023707	OK	 
